,open,high,low,close,volume,value
2022-11-19 13:00:00,22990000.0,23047000.0,22980000.0,23036000.0,106.85953724,2458953021.02999
2022-11-19 14:00:00,23045000.0,23060000.0,22970000.0,23001000.0,191.17698429,4398574468.38339
2022-11-19 15:00:00,23009000.0,23015000.0,22960000.0,22997000.0,76.29489437,1754060932.80256
2022-11-19 16:00:00,22998000.0,23042000.0,22974000.0,23020000.0,95.54276878,2197961361.27891
2022-11-19 17:00:00,23020000.0,23077000.0,22985000.0,23076000.0,114.63003121,2639791887.8866
2022-11-19 18:00:00,23076000.0,23095000.0,23047000.0,23057000.0,115.28304237,2659698181.04171
2022-11-19 19:00:00,23057000.0,23080000.0,23047000.0,23066000.0,50.78583906,1171345663.92675
2022-11-19 20:00:00,23073000.0,23079000.0,23040000.0,23078000.0,64.9619154,1497916121.65051
2022-11-19 21:00:00,23078000.0,23079000.0,23041000.0,23058000.0,82.77159289,1908642333.6402
2022-11-19 22:00:00,23058000.0,23058000.0,22992000.0,23010000.0,116.21962593,2674591879.35373
2022-11-19 23:00:00,23016000.0,23043000.0,23004000.0,23027000.0,116.41302361,2680094245.89572
2022-11-20 00:00:00,23027000.0,23060000.0,23015000.0,23052000.0,93.59635972,2155966254.14805
2022-11-20 01:00:00,23053000.0,23074000.0,23021000.0,23040000.0,81.92407392,1887375484.97532
2022-11-20 02:00:00,23039000.0,23045000.0,22993000.0,22999000.0,54.69919008,1258736598.46974
2022-11-20 03:00:00,22999000.0,23027000.0,22993000.0,22994000.0,28.50200078,655769749.00524
2022-11-20 04:00:00,22994000.0,23017000.0,22986000.0,23005000.0,24.99031797,574649186.92843
2022-11-20 05:00:00,23005000.0,23021000.0,22988000.0,23017000.0,11.84064935,272400910.49458
2022-11-20 06:00:00,23017000.0,23062000.0,23001000.0,23050000.0,19.51874168,449472261.81503
2022-11-20 07:00:00,23062000.0,23197000.0,23046000.0,23133000.0,178.92774177,4136763134.07045
2022-11-20 08:00:00,23124000.0,23171000.0,23081000.0,23081000.0,89.7327237,2074674867.27387
2022-11-20 09:00:00,23082000.0,23096000.0,23049000.0,23080000.0,162.98420483,3759902799.13241
2022-11-20 10:00:00,23080000.0,23128000.0,23066000.0,23068000.0,164.07815726,3789626973.29645
2022-11-20 11:00:00,23067000.0,23099000.0,23045000.0,23074000.0,115.72132884,2669817581.04213
2022-11-20 12:00:00,23071000.0,23083000.0,23051000.0,23068000.0,84.89521805,1958133804.16948
2022-11-20 13:00:00,23069000.0,23087000.0,23056000.0,23087000.0,113.33308087,2614243322.26861
2022-11-20 14:00:00,23070000.0,23087000.0,23056000.0,23077000.0,116.35401352,2684870230.2878
2022-11-20 15:00:00,23077000.0,23085000.0,23034000.0,23037000.0,92.23458653,2127400378.87035
2022-11-20 16:00:00,23035000.0,23083000.0,23019000.0,23068000.0,140.17186108,3230020145.55998
2022-11-20 17:00:00,23067000.0,23083000.0,22921000.0,22971000.0,292.24541729,6719044693.15813
2022-11-20 18:00:00,22971000.0,23010000.0,22940000.0,22959000.0,168.53832395,3871926983.25216
2022-11-20 19:00:00,22959000.0,23049000.0,22942000.0,23040000.0,233.74017281,5377530875.0504
2022-11-20 20:00:00,23022000.0,23064000.0,22875000.0,22962000.0,420.69751862,9667226667.38261
2022-11-20 21:00:00,22965000.0,23002000.0,22885000.0,22896000.0,265.10449686,6079106223.07297
2022-11-20 22:00:00,22890000.0,23012000.0,22890000.0,23010000.0,250.69875728,5754742585.4409
2022-11-20 23:00:00,22988000.0,23010000.0,22930000.0,22966000.0,127.12478884,2920215645.49878
2022-11-21 00:00:00,22965000.0,23047000.0,22950000.0,23024000.0,117.85509534,2711020501.03988
2022-11-21 01:00:00,23011000.0,23067000.0,22994000.0,23067000.0,82.52207942,1900362022.43438
2022-11-21 02:00:00,23067000.0,23067000.0,22997000.0,23022000.0,45.15767743,1040247307.73319
2022-11-21 03:00:00,23004000.0,23085000.0,22997000.0,23080000.0,83.62319166,1927124391.76919
2022-11-21 04:00:00,23069000.0,23087000.0,23011000.0,23046000.0,31.92599167,735942497.25315
2022-11-21 05:00:00,23057000.0,23075000.0,22908000.0,23046000.0,118.28095614,2720885169.77187
2022-11-21 06:00:00,23037000.0,23046000.0,22732000.0,22788000.0,270.96262474,6198913992.26695
2022-11-21 07:00:00,22789000.0,22870000.0,22651000.0,22746000.0,259.81685459,5912808260.79099
2022-11-21 08:00:00,22746000.0,22804000.0,22660000.0,22788000.0,250.00191401,5680794601.36432
2022-11-21 09:00:00,22763000.0,22795000.0,22590000.0,22702000.0,328.37239528,7436008580.72959
2022-11-21 10:00:00,22700000.0,22786000.0,22695000.0,22759000.0,190.41773622,4330526281.98175
2022-11-21 11:00:00,22759000.0,22760000.0,22341000.0,22497000.0,557.93838955,12545935803.04304
2022-11-21 12:00:00,22497000.0,22574000.0,22371000.0,22535000.0,281.08429005,6318895942.11169
2022-11-21 13:00:00,22543000.0,22810000.0,22534000.0,22608000.0,263.35512443,5972035651.29844
2022-11-21 14:00:00,22608000.0,22700000.0,22608000.0,22685000.0,129.87195458,2942074119.3811
2022-11-21 15:00:00,22685000.0,22770000.0,22568000.0,22568000.0,207.17012951,4701262646.15798
2022-11-21 16:00:00,22578000.0,22640000.0,22392000.0,22511000.0,244.43810944,5503842511.38701
2022-11-21 17:00:00,22511000.0,22547000.0,22401000.0,22450000.0,178.67777327,4011811032.28699
2022-11-21 18:00:00,22450000.0,22655000.0,22400000.0,22591000.0,184.64731294,4152655893.68139
2022-11-21 19:00:00,22593000.0,22635000.0,22547000.0,22609000.0,141.37777169,3192898973.02987
2022-11-21 20:00:00,22609000.0,22630000.0,22499000.0,22523000.0,109.53341661,2468527758.70701
2022-11-21 21:00:00,22524000.0,22600000.0,22433000.0,22578000.0,184.22359142,4145605961.79042
2022-11-21 22:00:00,22579000.0,22799000.0,22554000.0,22676000.0,284.01259012,6441137071.07549
2022-11-21 23:00:00,22673000.0,22769000.0,22638000.0,22671000.0,202.06592165,4587138588.46856
2022-11-22 00:00:00,22672000.0,22681000.0,22520000.0,22537000.0,178.24668833,4028640208.19885
2022-11-22 01:00:00,22535000.0,22565000.0,22400000.0,22504000.0,201.15013516,4521998724.34392
2022-11-22 02:00:00,22504000.0,22580000.0,22458000.0,22527000.0,54.41837943,1225320504.88392
2022-11-22 03:00:00,22527000.0,22601000.0,22450000.0,22525000.0,89.99448917,2026629285.24937
2022-11-22 04:00:00,22514000.0,22589000.0,22111000.0,22234000.0,318.0852585,7085911291.34161
2022-11-22 05:00:00,22251000.0,22400000.0,22222000.0,22269000.0,149.50431697,3334367315.89915
